,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
23,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,246,Finland,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2018,,,,873.0
24,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,246,Finland,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2020,,,,952.0
25,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,008,Albania,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2018,,,,3.0
26,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,008,Albania,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2020,,,,4.0
27,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,008,Albania,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2021,,,,4.0
28,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,008,Albania,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2022,,,,4.0
29,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,008,Albania,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2023,,,,9.0
30,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,008,Albania,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2016,,,,5.0
31,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,008,Albania,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2017,,,,3.0
32,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,246,Finland,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2021,,,,1236.0
