IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,158,Chinese Taipei,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2012,,,,306409.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,124,Canada,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2012,,,,455592.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,156,China,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2012,,,,2048714.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,124,Canada,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2013,,,,458318.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,156,China,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2013,,,,2209005.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,158,Chinese Taipei,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2013,,,,311428.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,158,Chinese Taipei,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2006,,,,224017.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,158,Chinese Taipei,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2014,,,,320092.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,158,Chinese Taipei,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2007,,,,246677.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,158,Chinese Taipei,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2015,,,,285344.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,124,Canada,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2015,,,,410062.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,156,China,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2015,,,,2273468.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,156,China,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2014,,,,2342293.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,124,Canada,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2014,,,,476300.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,156,China,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2016,,,,2097632.0
