Indicator Category,Indicator Code,Indicator,Reporting Economy Code,Reporting Economy ISO3A Code,Reporting Economy,Partner Economy Code,Partner Economy ISO3A Code,Partner Economy,Product/Sector Classification Code,Product/Sector Classification,Product/Sector Code,Product/Sector,Period Code,Period,Frequency Code,Frequency,Unit Code,Unit,Year,Value Flag Code,Value Flag,Text Value,Value
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,840,USA,United States of America,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2016,,,,3.48
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,840,USA,United States of America,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2017,,,,3.44
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,840,USA,United States of America,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2018,,,,3.45
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,840,USA,United States of America,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2019,,,,3.34
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,840,USA,United States of America,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2020,,,,3.4
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,840,USA,United States of America,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2021,,,,3.41
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,840,USA,United States of America,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2022,,,,3.346879416
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,840,USA,United States of America,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2023,,,,3.34656092
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,840,USA,United States of America,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2024,,,,3.3412072
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,918,EEC,European Union,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2006,,,,5.399158886
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,918,EEC,European Union,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2007,,,,5.244236421
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,918,EEC,European Union,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2008,,,,5.575513339
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,918,EEC,European Union,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2009,,,,5.27
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,918,EEC,European Union,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2010,,,,5.13
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,918,EEC,European Union,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2011,,,,5.27
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,918,EEC,European Union,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2012,,,,5.48
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,918,EEC,European Union,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2013,,,,5.47
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,918,EEC,European Union,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2014,,,,5.31
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,918,EEC,European Union,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2015,,,,5.1
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,918,EEC,European Union,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2016,,,,5.16
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,918,EEC,European Union,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2017,,,,5.08
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,918,EEC,European Union,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2018,,,,5.23
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,918,EEC,European Union,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2019,,,,5.14
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,918,EEC,European Union,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2020,,,,5.1
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,918,EEC,European Union,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2021,,,,5.17
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,918,EEC,European Union,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2022,,,,5.08207624
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,918,EEC,European Union,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2023,,,,4.989296545
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,918,EEC,European Union,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2024,,,,4.958001194
